priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,series,meta
0,LT,LTEQN,3696.0,3697.0,3424.5,3445.0,3719.5,-274.5,-7.38,4034617386783.66,4440.0,2965.3,10778730,0,37845953414.1,,22.40990990990991,-16.177115300306877,8.09,-17.46,13-Mar-2025,13-Feb-2026,https://nsearchives.nseindia.com/today/LTEQN.svg,https://nsearchives.nseindia.com/30d/LT-EQ.svg,https://nsearchives.nseindia.com/365d/LT-EQ.svg,EQ,"{'symbol': 'LT', 'companyName': 'Larsen & Toubro Limited', 'industry': 'Civil Construction', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE018A01030', 'slb_isin': 'INE018A01030', 'listingDate': '2004-06-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
0,HDFCBANK,HDFCBANKEQN,820.0,823.8,812.0,816.7,832.75,-16.05,-1.93,12462813429529.47,1020.5,812.0,41700464,0,34099720426.72,,19.97060264576188,-0.5788177339901533,-4.29,-9.65,13-Mar-2025,13-Feb-2026,https://nsearchives.nseindia.com/today/HDFCBANKEQN.svg,https://nsearchives.nseindia.com/30d/HDFCBANK-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCBANK-EQ.svg,EQ,"{'symbol': 'HDFCBANK', 'companyName': 'HDFC Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['W3', 'IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE040A01034', 'slb_isin': 'INE040A01034', 'listingDate': '1995-11-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
0,RELIANCE,RELIANCEEQN,1385.2,1400.8,1378.4,1382.1,1392.2,-10.1,-0.73,9305923221791.44,1611.8,1114.85,17265090,0,23968088541.6,,14.251147785085001,-23.971834775978834,10.75,-2.64,13-Mar-2025,13-Feb-2026,https://nsearchives.nseindia.com/today/RELIANCEEQN.svg,https://nsearchives.nseindia.com/30d/RELIANCE-EQ.svg,https://nsearchives.nseindia.com/365d/RELIANCE-EQ.svg,EQ,"{'symbol': 'RELIANCE', 'companyName': 'Reliance Industries Limited', 'industry': 'Refineries & Marketing', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE002A01018', 'slb_isin': 'INE002A01018', 'listingDate': '1995-11-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
0,ICICIBANK,ICICIBANKEQN,1251.9,1262.3,1248.7,1255.0,1266.5,-11.5,-0.91,8949033889593.13,1500.0,1235.3,17344394,0,21764092479.08,,16.333333333333332,-1.5947543106937623,0.4,-11.28,13-Mar-2025,13-Feb-2026,https://nsearchives.nseindia.com/today/ICICIBANKEQN.svg,https://nsearchives.nseindia.com/30d/ICICIBANK-EQ.svg,https://nsearchives.nseindia.com/365d/ICICIBANK-EQ.svg,EQ,"{'symbol': 'ICICIBANK', 'companyName': 'ICICI Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['E2', 'IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE090A01021', 'slb_isin': 'INE090A01021', 'listingDate': '1997-09-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
0,M&M,M&MEQN,2965.0,3025.0,2922.6,2940.0,3031.2,-91.2,-3.01,2617198997714.27,3839.9,2425.0,7217643,0,21449030585.25,,23.435506132972215,-21.237113402061855,11.22,-16.79,13-Mar-2025,13-Feb-2026,https://nsearchives.nseindia.com/today/M&MEQN.svg,https://nsearchives.nseindia.com/30d/M&M-EQ.svg,https://nsearchives.nseindia.com/365d/M&M-EQ.svg,EQ,"{'symbol': 'M&M', 'companyName': 'Mahindra & Mahindra Limited', 'industry': 'Passenger Cars & Utility Vehicles', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE101A01026', 'slb_isin': 'INE101A01026', 'listingDate': '1996-01-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
0,SBIN,SBINEQN,1077.5,1081.3,1042.3,1046.0,1085.2,-39.2,-3.61,4327839189527.09,1234.7,719.05,15978675,0,16881310350.75,,15.28306471207581,-45.4697169876921,43.71,-12.73,13-Mar-2025,13-Feb-2026,https://nsearchives.nseindia.com/today/SBINEQN.svg,https://nsearchives.nseindia.com/30d/SBIN-EQ.svg,https://nsearchives.nseindia.com/365d/SBIN-EQ.svg,EQ,"{'symbol': 'SBIN', 'companyName': 'State Bank of India', 'industry': 'Public Sector Bank', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['N1', 'N3', 'N4', 'IL', 'N2', 'N5', 'N6'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE062A01020', 'slb_isin': 'INE062A01020', 'listingDate': '1995-03-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
0,BHARTIARTL,BHARTIARTLEQN,1781.1,1816.0,1776.6,1803.0,1801.3,1.7,0.09,5009983376232.41,2174.5,1612.2,8970772,0,16188475735.76,,17.084387215451827,-11.834759955340527,10.44,-10.06,13-Mar-2025,13-Feb-2026,https://nsearchives.nseindia.com/today/BHARTIARTLEQN.svg,https://nsearchives.nseindia.com/30d/BHARTIARTL-EQ.svg,https://nsearchives.nseindia.com/365d/BHARTIARTL-EQ.svg,EQ,"{'symbol': 'BHARTIARTL', 'companyName': 'Bharti Airtel Limited', 'industry': 'Telecom - Cellular & Fixed line services', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE397D01024', 'slb_isin': 'INE397D01024', 'listingDate': '2002-02-15', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
0,ETERNAL,ETERNALEQN,220.9,222.99,214.28,217.0,221.17,-4.17,-1.89,1554737845042.75,368.45,194.8,65462174,0,14193508566.68,,41.10462749355408,-11.396303901437367,7.73,-23.91,13-Mar-2025,13-Feb-2026,https://nsearchives.nseindia.com/today/ETERNALEQN.svg,https://nsearchives.nseindia.com/30d/ETERNAL-EQ.svg,https://nsearchives.nseindia.com/365d/ETERNAL-EQ.svg,EQ,"{'symbol': 'ETERNAL', 'companyName': 'ETERNAL LIMITED', 'industry': 'E-Retail/ E-Commerce', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE758T01015', 'slb_isin': 'INE758T01015', 'listingDate': '2021-07-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
0,MARUTI,MARUTIEQN,12899.0,12962.0,12483.0,12615.0,13011.0,-396.0,-3.04,1650739540199.78,17370.0,11059.45,939594,0,11863548742.5,,27.374784110535405,-14.065346830086481,9.56,-17.21,13-Mar-2025,13-Feb-2026,https://nsearchives.nseindia.com/today/MARUTIEQN.svg,https://nsearchives.nseindia.com/30d/MARUTI-EQ.svg,https://nsearchives.nseindia.com/365d/MARUTI-EQ.svg,EQ,"{'symbol': 'MARUTI', 'companyName': 'Maruti Suzuki India Limited', 'industry': 'Passenger Cars & Utility Vehicles', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE585B01010', 'slb_isin': 'INE585B01010', 'listingDate': '2003-07-09', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
0,KOTAKBANK,KOTAKBANKEQN,373.0,373.6,363.4,367.1,375.3,-8.2,-2.18,2692125247413.52,460.38,363.4,32179473,0,11844942216.57,,20.26152308962161,-1.0181618051733752,-7.54,-12.73,13-Mar-2025,13-Feb-2026,https://nsearchives.nseindia.com/today/KOTAKBANKEQN.svg,https://nsearchives.nseindia.com/30d/KOTAKBANK-EQ.svg,https://nsearchives.nseindia.com/365d/KOTAKBANK-EQ.svg,EQ,"{'symbol': 'KOTAKBANK', 'companyName': 'Kotak Mahindra Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE237A01036', 'slb_isin': 'INE237A01036', 'listingDate': '1995-12-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
